iter	Passed	Remaining
328	16997	499630
329	17054	499757
330	17104	499647
331	17163	499799
332	17213	499699
333	17266	499688
334	17316	499599
335	17360	499318
336	17408	499171
337	17452	498900
338	17499	498700
339	17552	498708
340	17607	498735
341	17648	498398
342	17699	498331
343	17748	498204
344	17794	497996
345	17836	497673
346	17899	497948
347	17973	498495
348	18034	498720
349	18084	498603
350	18139	498664
351	18181	498327
352	18239	498461
353	18296	498550
354	18351	498602
355	18413	498810
356	18475	499034
357	18514	498656
358	18580	498991
359	18624	498710
360	18676	498666
361	18736	498833
362	18784	498704
363	18827	498417
364	18869	498116
365	18918	497969
366	18963	497750
367	19021	497864
368	19091	498293
369	19142	498225
370	19196	498218
371	19246	498125
372	19288	497838
373	19345	497908
374	19398	497893
375	19449	497812
376	19503	497834
377	19553	497740
378	19610	497828
379	19664	497819
380	19706	497518
381	19761	497560
382	19812	497477
383	19867	497527
384	19913	497318
385	19980	497646
386	20030	497544
387	20091	497730
388	20142	497660
389	20202	497799
390	20246	497565
391	20302	497623
392	20375	498090
393	20439	498341
394	20494	498353
395	20548	498352
396	20594	498153
397	20641	497988
398	20690	497856
399	20743	497841
